Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face,Longitude,Latitude
37500000,Baluwakhani,3.0,5.0,6,1369.0,13.0,Kathmandu,West,85.35971719693272,27.7317763
39900000,Baluwakhani,2.5,3.0,5,1711.25,13.0,Kathmandu,West,85.35971719693272,27.7317763
27000000,Baluwakhani,2.5,3.0,3,1440.0,12.0,Kathmandu,East,85.35971719693272,27.7317763
30000000,Baluwatar,3.0,4.0,4,1369.0,13.0,Kathmandu,West,85.3310167,27.7246028
50000000,Baluwatar,3.0,4.0,4,1711.25,13.0,Kathmandu,West,85.3310167,27.7246028
57500000,Baluwatar,3.0,5.0,5,1711.25,13.0,Kathmandu,West,85.3310167,27.7246028
60000000,Baluwatar,3.0,3.0,5,1711.25,13.0,Kathmandu,West,85.3310167,27.7246028
55000000,Baluwatar,3.0,3.0,5,1711.25,13.0,Kathmandu,West,85.3310167,27.7246028
60000000,Baluwatar,3.0,3.0,5,2738.0,13.0,Kathmandu,West,85.3310167,27.7246028
65000000,Baluwatar,2.5,3.0,6,2806.45,13.0,Kathmandu,West,85.3310167,27.7246028
21000000,Baluwatar,2.5,3.0,7,684.5,13.0,Kathmandu,West,85.3310167,27.7246028
23000000,Baluwatar,3.0,2.0,4,770.0625,15.0,Kathmandu,East,85.3310167,27.7246028
39000000,Baluwatar,2.5,3.0,7,1711.25,10.0,Kathmandu,North,85.3310167,27.7246028
39500000,Baluwatar,2.0,3.0,3,1882.375,15.0,Kathmandu,East,85.3310167,27.7246028
42500000,Baluwatar,3.0,6.0,6,2053.5,15.0,Kathmandu,South East,85.3310167,27.7246028
51500000,Baluwatar,3.0,3.0,6,2053.5,12.0,Kathmandu,North East,85.3310167,27.7246028
55000000,Baluwatar,2.5,3.0,4,2738.0,10.0,Kathmandu,South,85.3310167,27.7246028
55000000,Baluwatar,3.0,5.0,4,1796.8125,12.0,Kathmandu,South East,85.3310167,27.7246028
55000000,Baluwatar,2.5,5.0,4,1745.475,12.0,Kathmandu,South East,85.3310167,27.7246028
55000000,Baluwatar,2.5,5.0,6,1745.475,13.0,Kathmandu,North East,85.3310167,27.7246028
55000000,Baluwatar,2.5,4.0,4,1711.25,13.0,Kathmandu,South East,85.3310167,27.7246028
56000000,Baluwatar,3.0,4.0,4,2738.0,13.0,Kathmandu,North,85.3310167,27.7246028
60000000,Baluwatar,2.5,5.0,5,2053.5,13.0,Kathmandu,South,85.3310167,27.7246028
60000000,Baluwatar,3.0,5.0,5,2053.5,13.0,Kathmandu,North East,85.3310167,27.7246028
61000000,Baluwatar,3.0,6.0,5,2053.5,14.0,Kathmandu,North,85.3310167,27.7246028
65000000,Baluwatar,3.0,5.0,5,2224.625,20.0,Kathmandu,West,85.3310167,27.7246028
68000000,Baluwatar,2.5,3.0,6,2806.45,14.0,Kathmandu,East,85.3310167,27.7246028
71500000,Baluwatar,3.5,7.0,8,2053.5,12.5,Kathmandu,East,85.3310167,27.7246028
67500000,Baluwatar,2.5,4.0,7,2652.4375,13.0,Kathmandu,West,85.3310167,27.7246028
80000000,Baluwatar,2.5,3.0,3,3422.5,13.0,Kathmandu,West,85.3310167,27.7246028
80000000,Baluwatar,3.0,5.0,4,3422.5,13.0,Kathmandu,West,85.3310167,27.7246028
80000000,Baluwatar,3.0,5.0,4,3422.5,13.0,Kathmandu,West,85.3310167,27.7246028
75000000,Baluwatar,3.0,4.0,5,2139.06,13.0,Kathmandu,West,85.3310167,27.7246028
80000000,Baluwatar,3.0,3.0,5,2053.5,13.0,Kathmandu,West,85.3310167,27.7246028
55000000,Baluwatar,3.0,3.0,6,2909.125,13.0,Kathmandu,West,85.3310167,27.7246028
55000000,Baluwatar,2.5,3.0,6,2909.125,13.0,Kathmandu,West,85.3310167,27.7246028
65000000,Baluwatar,2.5,4.0,5,1711.25,13.0,Kathmandu,West,85.3310167,27.7246028
58500000,Baluwatar,2.5,5.0,4,1369.0,13.0,Kathmandu,West,85.3310167,27.7246028
20000000,Banasthali,2.5,2.0,5,1026.75,13.0,Kathmandu,West,85.2977635,27.7249402
31500000,Banasthali,3.0,4.0,5,1060.975,13.0,Kathmandu,West,85.2977635,27.7249402
23500000,Banasthali,2.5,3.0,3,855.625,13.0,Kathmandu,West,85.2977635,27.7249402
22500000,Banasthali,2.0,3.0,4,1026.75,15.0,Kathmandu,East,85.2977635,27.7249402
26000000,Banasthali,2.5,3.0,5,1437.45,16.0,Kathmandu,South,85.2977635,27.7249402
27500000,Banasthali,2.5,5.0,5,1369.0,13.0,Kathmandu,South,85.2977635,27.7249402
29500000,Banasthali,2.5,3.0,4,1026.75,10.0,Kathmandu,East,85.2977635,27.7249402
31000000,Banasthali,2.5,4.0,4,1369.0,12.0,Kathmandu,South,85.2977635,27.7249402
34000000,Banasthali,3.5,5.0,6,1369.0,13.0,Kathmandu,East,85.2977635,27.7249402
34000000,Banasthali,3.0,4.0,6,1369.0,13.0,Kathmandu,East,85.2977635,27.7249402
35000000,Banasthali,3.5,4.0,6,787.175,15.0,Kathmandu,South West,85.2977635,27.7249402
39500000,Banasthali,3.0,6.0,5,1967.9375,20.0,Kathmandu,North,85.2977635,27.7249402
42000000,Banasthali,2.5,4.0,8,2806.45,12.0,Kathmandu,South,85.2977635,27.7249402
45000000,Banasthali,3.0,5.0,7,1497.34,13.0,Kathmandu,North,85.2977635,27.7249402
38000000,Baneshwor,2.5,3.0,6,1026.75,13.0,Kathmandu,West,85.33565914433615,27.68990755
38000000,Baneshwor,3.5,4.0,6,1026.75,20.0,Kathmandu,South West,85.33565914433615,27.68990755
38700000,Baneshwor,3.0,5.0,6,1369.0,15.0,Kathmandu,East,85.33565914433615,27.68990755
