title,location,price,landsize,Road,bedroom,bathroom,url,direction,parking,built year,district,Municipality,vdc,builtyear,checkmun
Newly built 5.5 Talla commercial house for sale | 9841169325,,92500000,2000,20,12,5,https://www.gharghaderi.com/house/2579-Newly-built-5.5-Talla-commercial-house-for-sale/,East,3+,,Kathmandu,Baniyatar,Samakhusi,2076,Baniyatar
Commercial Building for sale at Samakhusi Kathmandu | 9847369375,,90000000,2053.5,25,8,5,https://www.gharghaderi.com/house/976-Commercial-Building-for-sale-at-Samakhusi-Kathmandu/,South west,3-,,Kathmandu,Kathmandu,Samakhusi,2076,Kathmandu
"Bungalow For SALE At Sanobharyang, Kathmandu | 9802601313",,85000000,2909.12,16,7,5,https://www.gharghaderi.com/house/2795-Bungalow-For-SALE-At-Sanobharyang-Kathmandu/,West,3-,,Kathmandu,Kathmandu,Sanobharyang,2076,Kathmandu
Bungalow on sale at Mandikhatar Kathmandu,"Thirbam Sadak, Charkhal Dillibazar .",85000000,3764.75,18,5,5,https://nepalhomesearch.com/property/bungalow-on-sale-at-mandikhatar-kathmandu/,East,3-,2070,kathmandu,,,,
Commercial house for sale at Koteshwor Kathmandu,"koteshwor , Lalbandi, Sarlahi, Province #2",85000000,1711.25,27,10,6,https://nepalhomesearch.com/property/commercial-house-for-sale-at-koteshwor/,,3+,,kathmandu,,,,
House for Sale on 10  AANA of Land | 9849237550,,85000000,3422.5,10,8,6,https://www.gharghaderi.com/house/2349-House-for-Sale-on-10- AANA-of-Land/,North west,3+,,Kathmandu,Kathmandu,Chabahil,2068,Kathmandu
"House on sale at Milanchowk, Baneshwor Kathmandu",Milanchowk Baneshwor ,85000000,3764.75,,5,4,https://nepalhomesearch.com/property/house-on-sale-at-milanchowk-baneshwor-kathmandu/,,3+,2047,kathmandu,,,,
Modern House on 10 Anna land on sale at Bafal Kathmandu,Bafal ,85000000,3764.75,,3,4,https://nepalhomesearch.com/property/modern-house-on-10-anna-land-on-sale-at-bafal-kathmandu/,None,3+,2067,kathmandu,,,,
flat system home built on 11  AANA on sale at Rudreshwor | 9840872228,,85000000,3764.75,13,7,5,https://www.gharghaderi.com/house/1162-flat-system-home-built-on-11- AANA-on-sale-at-Rudreshwor/,South,3+,,Kathmandu,Budhanilkantha,Rudreshwor,2076,Budhanilkantha
House for sale at Gahana Pokhari Kathmandu,Gahana Pokhari,82500000,3422.5,13,4,4,https://nepalhomesearch.com/property/house-for-sale-at-gahana-pokhari-kathmandu/,South-east,3+,,kathmandu,,,,
Modern House for sale at Pasikot Budhanilkantha,"Pasikot, Budhanilkantha 44600",82500000,7529.5,,4,4,https://nepalhomesearch.com/property/modern-house-for-sale-at-pasikot-budhanilkantha/,,3+,2076,kathmandu,,,,
A house on 8 annas is for sale in Hattisar Kathmandu,Hattisar ,80000000,2738,,9,6,https://nepalhomesearch.com/property/a-house-on-8-annas-is-for-sale-in-hatisar-kathmandu/,,,2057,kathmandu,,,,
Beautiful House for sale in Dholahiti Lalitpur,"Dholahiti, 44700",80000000,3422.5,13,4,3,https://nepalhomesearch.com/property/beautiful-house-for-sale-in-dholahiti-lalitpur/,North-east,3+,2062,lalitpur,,,,
Decent house for sale at Chapali Budhanilkantha,Decent house for sale at Chapali Budhanilkantha,80000000,5133.75,,3,3,https://nepalhomesearch.com/property/house-for-sale-at-chapali/,,3+,2067,kathmandu,,,,
House for sale in Ason | 9851016411,,80000000,941.18,20,1,4,https://www.gharghaderi.com/house/1482-House-for-sale-in-Ason/,South west,3-,,Kathmandu,Kathmandu,Ason,2075,Kathmandu
