Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
41500000,"Tathali, Mahamanjushree Nagarkot, Changunarayan Municipality, Bhaktapur, Bagmati Pradesh, 89130, Nepal",35,3,6,1540.125,13,Bramhayani mandir
100000000,"Tathali ,",,,,,,
32500000,"Tathagat International Public School, Gwarko-Lamatar, Imadol, Mahalaxmi, Lalitpur",3,4,4,1369,13,
57000000,"tasikhel, Thasikhel, Lalitpur",35,5,8,2053.5,13,thasikhel
27500000,"Tarkeshwar ,",,,,1283.4375,,
17500000,"Tarakeshwar, Tarakeshwar Municipality, Kathmandu, Bagmati Pradesh, 44610, Nepal",25,3,11,1026.75,13,
19000000,"Tarakeshwar, Kathmandu, Bagmati Pradesh, 19975, Nepal",,,,,,
16500000,"Tarakeshwar, Kathmandu",1,2,2,1026.75,13,K
6500000,"Tarahara, Sunsari (Itahari)",2,1,1,2916,13,
31500000,"Tara Gau Park, Mahankal Road, Pani Tanki, Chabahil, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44602, Nepal",35,7,7,1369,13,"Chuchhepati, Jagreshwor mahadev temple"
250000000,"Tangal Naxal Baluwatar Bishal Nagar Handigaun Gairidhara, Bhat Bhateni Area, Kathmandu",2,4,3,6845,13,
35000000,"Tangal Bhat Bhateni Baluwatar Naxal Lazimpat, Gairidhara Area, Kathmandu",25,1,1,1112.31,13,
13000000,"Tangal Bhat Bhateni Baluwatar Naxal Lazimpat, Gairidhara Area, Kathmandu",3,1,1,684.5,12,
105000000,"Tangal Bhat Bhateni Baluwatar Naxal Lazimpat, Gairidhara Area, Kathmandu",,,,,,
14000000,"Tandi Bazar, Ratnanagar, Chitwan, Bagmati Pradesh, 44204, Nepal",,,,,,
32500000,"Tallogau, Sainbu, Lalitpur, Bagmati Pradesh, 13775, Nepal",25,3,5,1197.875,13,
27500000,"Tallogau, Sainbu, Lalitpur, Bagmati Pradesh, 13775, Nepal",25,3,5,1882.375,12,
66500000,Tallogau,3,4,4,2053.5,13,
33000000,"Tallo Tusal Galli, किरण चोक, बालुवाटार",1,2,2,1369,20,
62000000,"Talim Kendra Marg, Sainbu, Lalitpur",3,4,5,2053.5,20,
43400000,"Talim Kendra Marg, Sainbu",2,4,4,1369,20,Karyabinayak
65000000,"Talim Kendra Marg, Sainbu",3,5,2,1369,20,Bhaisepati Mantri Quarter (Mantri Margha)
41000000,"Talim Kendra Marg, Sainbu",3,5,7,1711.25,20,
28500000,"Talim Kendra Marg, Sainbu",0,0,0,1026.75,13,
37500000,"Talim Kendra Marg, Sainbu",3,4,4,1026.75,13,
52500000,"Talim Kendra Marg, Sainbu",3,5,5,1711.25,13,
55000000,"Talim Kendra Marg, Sainbu",3,5,5,1711.25,13,
47500000,"Talim Kendra Marg, Sainbu",2,3,3,2053.5,13,
