price,Location,Floor,Bathroom,Bedroom,Land,Road Size,Land Mark,url,182.25
125000000,"Maharajgunj, Kathmandu",25,4,4,0-12-1-0,13,,https://hamrobazaar.com/for-sale-house/makalbari-house-sale-in-nepal/cf414aee4bd94a008f6e3d8eeb19f042,
71000000,"Bhanimandal Kusunti Nakhu Nakkhu Jawalakhel Dhobighat Thasikhel, Ekantakuna Area, Lalitpur",3,4,6,0-12-0-3,13,Behind Medicity Hospital,https://hamrobazaar.com/for-sale-house/house-in-kathmandu/1fdc5d2995fc4dfe8fe0119189045b2c,
33200000,"Galkopakha, Golkopakha (Shorakhutte), Kathmandu",6,3,5,0-1-1-2,20,,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/c3d43b68b6ab4441963bdf5b09eef1e1,
110000000,"Thapathali, Kathmandu",25,,,0-11-0-2,13,Near By Kathmandu Dairy,https://hamrobazaar.com/for-sale-house/in-nepal/b740985847e4412da1dd69c751d6b53a,
67400000,"Ramkot (Nagarjun), Kathmandu",2,3,4,0-10-2-3.29,13,2.5 km from Ring road,https://hamrobazaar.com/for-sale-house/house-on-sale-at-imadol-sital-hight-in-nepal/7430948948b64e2b82935cea687f7005,
7500000,"Basantapur Durbar Square, Kathmandu, Nepal",4,1,3,0-1-.-2,,,https://hamrobazaar.com/for-sale-house/house-on-sale-in-nepal/d2ff227dbf554c878de483e5bd1ebffd,
16500000,"Tikathali (Mahalaxmi), Lalitpur",1,0,0,13690,13,,https://hamrobazaar.com/for-sale-house/house-in-nepal/5eb89afdd49547718fb57be3e878b2ca,
32500000,"सीतापाखा, इमाडोल",3,3,4,13690,13,,https://hamrobazaar.com/for-sale-house/house-on-sale-contat-no-9860443764-in-kathmandu/65e02c1b5b0181ccbe2760975b43fab3,
320000000,"Budhanilkantha, Kathmandu",3,3,3,13690,13,K,https://hamrobazaar.com/for-sale-house/imadol-ansari-medical-pawan-pakriti-school-in-nepal/77042d2256e2411aaed3525f81e84922,
280000000,Khadkagaon,3,10,5,13690,20,,https://hamrobazaar.com/for-sale-house/house-on-sale-in-kathmandu/b3a74a2f036f490cb629203ceec01bb4,
220000000,"budanilkantha, Budhanilkantha, Kathmandu",,,,13347.75,20,parking avaiable,https://hamrobazaar.com/for-sale-house/new-semi-commerceail-type-house-on-sale-in-nepal/6496eb10bf354005abc91aaf3c7d1ed3,
40000000,"भुवन सिंह मार्ग, सानोपोखरा चोक",1,1,2,13005.5,20,,https://hamrobazaar.com/for-sale-house/house-lolang-in-nepal/d78386685c904a39a6d68866125118db,
300000000,"69, Shanti Marga, Jor Pipal, Bhatbhateni, Kathmandu",3,6,8,12321,12,,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/a2633e11deec49669306165bb3ccf9d0,
200000000,Lalitpur > Kusunti,25,5,5,11978.75,12,,https://hamrobazaar.com/for-sale-house/beautiful-house-in-hetauda-in-nepal/6038bc4df2c24c39b82523f93e466469,
35000000,"Rudramati Chowk, Mandikhatar",4,6,8,11978.75,12,near to Aakasedhara petrol pump,https://hamrobazaar.com/for-sale-house/smart-house-on-sale-cg-wai-wai-factory-baisiparty-in-nepal/12be27cbfd424d5ba42db3a45ed9d1cf,
13500000,"Maulo Gade Pokhari, Boshigaun, चन्द्रागिरी नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",25,2,6,11978.75,13,,https://hamrobazaar.com/for-sale-house/new-brand-house-on-sale-in-nepal/87dab6f80b534e4dac880141e111da3e,
17000000,"lolang, Goldhunga (Tarkeshwar), Kathmandu",25,3,6,11978.75,13,,https://hamrobazaar.com/for-sale-house/fullfurnished-bungalow-on-sale-battisputali-in-nepal/2443a6b545a4470082b5b276bb06397d,
4000000,खड्कागाउँ,2,3,4,11978.75,13,,https://hamrobazaar.com/for-sale-house/for-sale-house-in-nepal/57aa34100b48409d8415814af033eee2,
8500000,"Upendra Marg, अरुन थापा मुर्ति चोक, कुपन्डोल",3,4,5,11978.75,13,kupandol,https://hamrobazaar.com/for-sale-house/in-nepal/fd8547ad755e449fbe8a9aa1d1ac6a04,
16500000,"Maulo Gade Pokhari, चन्द्रागिरी नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",25,2,6,11978.75,20,,https://hamrobazaar.com/for-sale-house/imadol-sanagau-school-chowk-in-nepal/aae06c5775384a5191c7851b3c48fe2f,
16500000,"Bhate Pokhari, Chandragiri, चन्द्रागिरी नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",25,2,6,11978.75,20,,https://hamrobazaar.com/for-sale-house/imadol-nayabasti-swimming-pool-in-nepal/812c0efa568d48d4be14af0e788fcc16,
180000000,"budanilkantha, Budhanilkantha, Kathmandu",,,,11636.5,20,parking avaivalbe,https://hamrobazaar.com/for-sale-house/luxury-house-and-land-for-sale-in-budhanilkantha-in-kathmandu/7e7b1a899c8547ee9b55f9d949076899,
30000000,"Shree Pachali Bhairab House, 21 Ward Office, Jamana Guvaju Marg, Nhugha, Yetkha, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 04110, Nepal",55,1,4,11390.625,13,"In front of chaitya, 5-10 mins from hanumandhoka by walking.",https://hamrobazaar.com/for-sale-house/new-baneshwor-sangam-chok-najik-72anna-bikrima-in-kathmandu/cb6bac106e5a4795ad45a30da51d2e54,
13000000,सफल टोल,2,2,3,11294.25,8,4,https://hamrobazaar.com/for-sale-house/house-on-sale-in-kathmandu/dd42d87a761f421dbc77773ec35b12e5,
160000000,"Budhanilkantha, Budhanilkantha Municipality, Kathmandu",0,0,0,10952,13,,https://hamrobazaar.com/for-sale-house/house-on-sale-in-nepal/b02cf521b6f34eb9a1f4edd2eb52eac8,
29500000,"सीतापाखा, इमाडोल",3,3,4,10952,13,imadol Naya basti,https://hamrobazaar.com/for-sale-house/in-nepal/fa0c8ec2fe344fd2a9d29fde0c317bd0,
29500000,"सीतापाखा, Imadol",3,3,4,10952,13,imadol naya basti.,https://hamrobazaar.com/for-sale-house/imadol-ochu-height-highway-najeek-in-nepal/527570d9c9594ce2a9238f74462921ab,
32500000,Imadol,3,3,6,10952,13,imadol nayabasti basti,https://hamrobazaar.com/for-sale-house/imadol-sanagau-school-chowk-in-nepal/b12fc4f27b8446eab4985712437f2497,
300000000,"Baluwatar Area, Kathmandu",25,4,4,10952,13,,https://hamrobazaar.com/for-sale-house/house-for-sale-at-tangal-fata-in-nepal/88e42e10454d435788d622cadbefe9c5,
165000000,Kathmandu > Narayanthan (Budhanilkantha),25,5,5,10952,13,Rudreshwor chowk bata 500 meter inside,https://hamrobazaar.com/for-sale-house/house-on-sale-baluwatar-kathmandu-in-nepal/436dcc4ad7ee4614a1eb85a27089845f,
140000000,खड्कागाउँ,12,5,6,10952,13,pasikot,https://hamrobazaar.com/for-sale-house/house-on-sale-at-imadol-in-nepal/f091d7775b1f45568a5e9827f8ec56c4,
16500000,"Bhate Pokhari, Boshigaun, Chandragiri Municipality, Kathmandu",2,2,7,10952,20,,https://hamrobazaar.com/for-sale-house/sale-for-beautiful-house-in-lalitpur/9d41a4d10d8b43278c79e9a567ae789f,
19000000,Katunje,2,2,7,10952,20,Bhaktpur,https://hamrobazaar.com/for-sale-house/house-on-sale-in-budhanilkantha-in-kathmandu/b60d2d0048854f2f9ab1904c7ec52bf1,
