title,location,price,landsize,Road,bedroom,bathroom,url,direction,parking size,built year
Civil Homes Sunakothi- House for sale,"Civil Homes, Thecho 44710, Nepal",52500000,7,20,4,3,https://nepalhomesearch.com/property/civil-homes-sunakothi/,North-west,1,
Voguish House at Sukedhara,"Sukedhara, Kathmandu, Bagmati Pradesh, 3832, Nepal",45000000,7,,4,3,https://nepalhomesearch.com/property/voguish-house-at-sukedhara/,East,1,
An old house for sale at Gairidhara Kathmandu,Gairidhara Kathmandu,55000000,7,,5,3,https://nepalhomesearch.com/property/an-old-house-for-sale-at-gairidhara-kathmandu/,,,
Attractive Multi-Flat house for sale near Kalanki,"Maitri Nagar, Kirtipur, Kathmandu, Bagmati Pradesh, 44618, Nepal",55000000,7,13,12,7,https://nepalhomesearch.com/property/multi-flat-house-for-sale-near-kalanki/,East,3,2018
डिल्लीबजारमा भाडा खाने घर बिक्रीमा,"Thirbam Sadak, Charkhal Dillibazar Kathmandu.",100000000,7,13,33,13,https://nepalhomesearch.com/property/%e0%a4%a1%e0%a4%bf%e0%a4%b2%e0%a5%8d%e0%a4%b2%e0%a5%80%e0%a4%ac%e0%a4%9c%e0%a4%be%e0%a4%b0%e0%a4%ae%e0%a4%be-%e0%a4%ad%e0%a4%be%e0%a4%a1%e0%a4%be-%e0%a4%96%e0%a4%be%e0%a4%a8%e0%a5%87-%e0%a4%98/,North,2,
European style house on 6.5 annas on sale at Bhaisepati Lalitpur,"Gokul Awash, Bhaisepati, Sainbu, Lalitpur, Bagmati Pradesh, 13775, Nepal",47500000,7,20,5,4,https://nepalhomesearch.com/property/european-style-house/,North-east,2,2020
A beautiful house for sale at Gairidhara Kathmandu,"Lazimpat, Kathmandu 44600, Nepal",65000000,7,,5,5,https://nepalhomesearch.com/property/house-for-sale-at-gairidhara-2/,,1,2010
House in Civil Homes Bhaisepati,"Civil Homes, Bhaisepati, Sainbu, Lalitpur",45000000,6,,4,4,https://nepalhomesearch.com/property/house-in-civil-homes-bhaisepati/,South-east,3,2005
Brand new house for sale at Budhanilkantha,"Rudreshwor Chowk, Budhanilkantha, Kathmandu, Bagmati Pradesh, 22644, Nepal",62500000,6,20,4,5,https://nepalhomesearch.com/property/brand-new-house-for-sale-at-budhanilkantha/,East,2,2022
Southern Heights Housing – House On Sale,"Southern Heights, Godawari 44700, Nepal",46500000,6,20,4,4,https://nepalhomesearch.com/property/southern-heights-housing-2/,South-east,2,2011
"House for sale in Southern Heights Housing, Thaiba Lalitpur","Southern Heights, Godawari 44700, Nepal",45000000,6,20,4,4,https://nepalhomesearch.com/property/house-for-sale-in-southern-heights-housing/,South-west,2,
Modern house on sale at Bagaicha Colony Budhanilkantha,"Taulung, Budhanilkantha Kathmandu",42500000,6,,4,4,https://nepalhomesearch.com/property/modern-house-on-sale-at-bagaicha-colony-budhanilkantha/,,2,2021
"New house for sale near Kuwar Colony, Dhapasi","Kuwar Colony, Dhapasi",32500000,6,,5,4,https://nepalhomesearch.com/property/new-house-for-sale-near-kuwar-colony-dhapasi/,,2,2020
Thaiba Heights Housing,"Thaiba Heights Housing, Thaiba, Godawari, Lalitpur, Bagmati Pradesh, Nepal",50000000,6,20,4,3,https://nepalhomesearch.com/property/thaiba-heights-housing/,South,1,2021
"A beautiful home for sale near Deuba Residence, Budhanilkantha","Deuba Residence, Budhanilkantha Kathmandu",47500000,6,,5,5,https://nepalhomesearch.com/property/a-beautiful-home-for-sale-near-deuba-residence-budhanilkantha-kathmandu/,,1,2018
House for sale on 6 aana in Sukedhara Kathmandu,Sukedhara Kathmandu,40000000,6,,6,4,https://nepalhomesearch.com/property/house-for-sale-on-6-aana-in-sukedhara/,,1,
Multi-Family House For Sale at Anamnagar,"Anamnagar, Kathmandu",50000000,6,12,7,4,https://nepalhomesearch.com/property/multi-family-house-for-sale-at-anamnagar/,,3,
House for sale in Sanepa,Sanepa Lalitpur,50000000,6,,2,3,https://nepalhomesearch.com/property/house-for-sale-in-sanepa/,,3,2005
Beautiful house for sale at Washik Budhanilkantha,"Washik, Budhanilkantha, Kathmandu, Bagmati Pradesh, 22644, Nepal",41000000,6,13,5,4,https://nepalhomesearch.com/property/house-for-sale-at-washik-budhanilkantha/,South-west,2,2022
Stylish House At Thaiba For Sale of 5.5 annas,"Southern Heights Colony, Thaiba, Lalitpur, Bagmati Pradesh, 44709, Nepal",50000000,6,20,4,3,https://nepalhomesearch.com/property/stylish-house-at-thaiba-lalitpur/,South-west,2,2010
Southern Heights Housing Thaiba Lalitpur,"Southern Heights, Godawari",35000000,6,,4,4,https://nepalhomesearch.com/property/southern-heights-housing-thaiba-lalitpur/,,2,2015
House for sale at Road Show Housing Budhanilkantha,Road Show Housing Budhanilkantha,46000000,6,,5,3,https://nepalhomesearch.com/property/road-show-housing-budhanilkantha/,,1,2020
Old house for sale on 5.5 anna land at Tudaldevi Kathmandu,"Tudaldevi Baluwatar, Kathmandu",40000000,6,,4,3,https://nepalhomesearch.com/property/old-house-for-sale-on-5-5-anna-land-at-tudaldevi/,,1,
Semi commercial new house for sale at Thankot Kathmandu,"Thānkot, Chandragiri, Kathmandu,",32500000,6,,4,4,https://nepalhomesearch.com/property/semi-commercial-new-house-for-sale-at-thankot-kathmandu/,,1,2020
House for sale at Maitidevi Kathmandu,"Maitidevi, Kathmandu",37000000,5,,6,4,https://nepalhomesearch.com/property/house-for-sale-at-maitidevi-kathmandu/,,2,2016
Commercial house for sale at Koteshwor Kathmandu,"koteshwor kathmandu, Lalbandi, Sarlahi, Province #2, Nepal",85000000,5,27,10,6,https://nepalhomesearch.com/property/commercial-house-for-sale-at-koteshwor/,,3,
"House for sale at Veenas Residency, Tokha","Veenas Residency, Tokha, Kathmandu",32500000,5,,3,3,https://nepalhomesearch.com/property/house-for-sale-at-veenas-residency-tokha/,,3,
House for sale at Bafal on 5 aana land.,"Bafal Marg, Kathmandu 44600, Nepal",36500000,5,12,7,3,https://nepalhomesearch.com/property/house-for-sale-at-bafal/,South-west,2,2063
Attractive houses for sale at Thaiba Godawari,"Thaiba, Godawari, Lalitpur, Bagmati Pradesh, Nepal",35000000,5,13,5,3,https://nepalhomesearch.com/property/houses-for-sale-at-thaiba-godawari/,South,2,2070
80 lakh only at Britamode Jhapa,"Birtamode, Nepal",8000000,5,20,4,2,https://nepalhomesearch.com/property/80-lakh-only-at-britamod-jhapa/,,2,
"Independent House For Sale In Hattiban Housing, Lalitpur",Hattiban lalitpur,50000000,5,,4,4,https://nepalhomesearch.com/property/hattiban-housing-house-sale/,,2,2020
House for sale at Green Hill City,Green Hill City Imadol,43000000,5,,5,4,https://nepalhomesearch.com/property/ready-to-move-house-for-sale-at-green-hill-city-imadol/,,2,2020
A house for sale in Chandol Kathmandu,A house for sale in Chandol Kathmandu,35000000,5,,4,4,https://nepalhomesearch.com/property/a-house-for-sale-in-chandol-kathmandu/,,2,2012
Flat system house for sale at Samakhushi Kathmandu,"Samakhusi, Kathmandu",35000000,5,,5,3,https://nepalhomesearch.com/property/a-flat-system-house-for-sale/,,2,
Flat System House on Sale at Hattigauda Kathmandu,"Hattigauda Chowk, Budhanilkantha Kathmandu",31500000,5,,5,3,https://nepalhomesearch.com/property/flat-system-house-on-sale-at-hattigauda/,,2,2013
Flat system house for sale on 5 anna at Satungal,"Sangam Basti, Satungal Chandragiri Municipality Kathmandu",30000000,5,,6,4,https://nepalhomesearch.com/property/flat-system-house-for-sale-at-satungal/,,2,2015
House built in 5 Anna for sale in Bhaisepati Lalitpur,"Bhaisepati, Karyabinayak, Nepal",30000000,5,,4,4,https://nepalhomesearch.com/property/house-built-in-5-anna-for-sale-in-bhaisepati-lalitpur/,,2,2010
House in thankot for sale,"Thankot, Chandragiri, Kathmandu, Bagmati Pradesh, 44619, Nepal",22000000,5,10,6,3,https://nepalhomesearch.com/property/%e0%a4%a5%e0%a4%be%e0%a4%a8%e0%a4%95%e0%a5%8b%e0%a4%9f-%e0%a4%ae%e0%a4%be-%e0%a4%98%e0%a4%b0-%e0%a4%ac%e0%a4%bf%e0%a4%95%e0%a5%8d%e0%a4%b0%e0%a5%80%e0%a4%ae%e0%a4%be/,West,1,
House sale in Rudreshwor Budhanilkantha,"Rudreshwor Chowk Bus Stop, Budhanilkantha 44600, Nepal",35000000,5,13,5,5,https://nepalhomesearch.com/property/house-sale-in-rudreshwor-budhanilkantha/,West,1,2077
