title,district,Municipality,vdc,price,landsize,bedroom,bathroom,builtyear,parking,direction,url,price.1
"3 Storey House For Sale at Cozy Home Imadol, Lalitpur",Lalitpur,Mahalaxmi,Imadol,,3.0 aana,5,3,2079,3,West,https://epropertynepal.com/properties/2667-3-storey-house-for-sale-at-cozy-home-imadol-lalitpur,26500000
"2.5 Storey House For Sale at Kapan, Kathmandu",Kathmandu,Budanilkantha-10,Kapan,,3.5 aana,5,2,2070,3,East,https://epropertynepal.com/properties/2361-2-5-storey-house-for-sale-at-kapan-kathmandu,27500000
"2.5 Storey House for Sale at Pasikot Budhanilkantha, Kathmandu",Kathmandu,Kathmandu, Budhanilkantha,,3.0 aana,4,4,2079,3,South,https://epropertynepal.com/properties/2680-2-5-storey-house-for-sale-at-pasikot-budhanilkantha-kathmandu,28000000
"4 Storey House for Sale at Balkot Chowk, Bhaktapur",Bhaktapur,Bhaktapur,Kausaltar,,5.5 aana,10,4,2070,3,North East,https://epropertynepal.com/properties/1029-4-storey-house-for-sale-at-balkot-chowk-bhaktapur,32500000
"3.5 Storey House For Sale at Sankhamul, Kathmandu",Kathmandu,Kathmandu,Sankhamul,,3.0 aana,6,3,2060,3,East,https://epropertynepal.com/properties/2815-3-5-storey-house-for-sale-at-sankhamul-kathmandu,37000000
"2.5 Storey House for Sale at Imadol, Lalitpur",Lalitpur,Lalitpur,Imadol,,4.75 aana,4,4,2079,3,East,https://epropertynepal.com/properties/2943-2-5-storey-house-for-sale-at-imadol-lalitpur,41500000
"2.5 Storey House for sale at Makalbari, Kathmandu",Kathmandu,Gokarneshwor-1,Makalbari,,3.5 aana,3,3,2070,11,East,https://epropertynepal.com/properties/2675-2-5-storey-house-for-sale-at-makalbari-kathmandu,16000000
"House for Sale at Bode, Bhaktapur",Bhaktapur,Madyapur Thimi-08,Bode,,3.375 aana,3,3,2075,11,East,https://epropertynepal.com/properties/1775-house-for-sale-at-bode-bhaktapur,18500000
"3 Storey House For Sale at Kalanki, Kathmandu",Kathmandu,Kathmandu-14,Kalanki,,3.9375 aana,6,4,2079,11,North East,https://epropertynepal.com/properties/2852-3-storey-house-for-sale-at-kalanki-kathmandu,45000000
"House for Sale at Imadol, Lalitpur",Lalitpur,Mahalaxmi,Imadol,,3.125 aana,6,3,2079,4,East,https://epropertynepal.com/properties/1208-house-for-sale-at-imadol-lalitpur,17200000
"1 Storey House For Sale at Sanagaun, Lalitpur",Lalitpur,Mahalaxmi-6,Sanagaun,,3.19 aana,2,1,2079,13,North,https://epropertynepal.com/properties/3026-1-storey-house-for-sale-at-sanagaun-lalitpur,16000000
"3 Storey House for Sale At Syuchatar, Kathmandu",Kathmandu,Kathmandu, Syuchatar,,5.0 aana,5,4,2070,12,South West,https://epropertynepal.com/properties/2610-3-storey-house-for-sale-at-syuchatar-kathmandu,25000000
