floors,district,Municipality,Address,Land,Price,bedroom,bathroom,Face,Road,url
2.5,Kathmandu,Budhanilkantha,Kapan,1625.6875,30000000,5,4,West,13,https://epropertynepal.com/properties/1622-house-for-sale-at-kapan-kathmandu
2.5,Kathmandu,Budhanilkantha,Kapan,1732.640625,30000000,7,5,South East,13,https://epropertynepal.com/properties/2371-house-for-sale-at-baluwakhani-kapan-kathmandu
2.5,Kathmandu,Kathmandu,Kapan,3080.25,52500000,5,5,South West,20,https://epropertynepal.com/properties/633-bungalow-for-sale-at-kapan-height-kathmandu
3.5,Kathmandu,Kathmandu Metropolitan city,Kalimati,2053.5,68000000,10,5,South,18,https://epropertynepal.com/properties/2349-3-5-storey-house-for-sale-at-kalimati-kathmandu
5.5,Kathmandu,Kathmandu,Kalanki,1711.25,60000000,20,10,South East,26,https://epropertynepal.com/properties/1563-house-for-sale-at-kalanki-kathmandu
3,Kathmandu,Kathmandu-14,Kalanki,1347.609375,45000000,6,4,North East,13,https://epropertynepal.com/properties/2852-3-storey-house-for-sale-at-kalanki-kathmandu
2.5,Kathmandu,Kageshwori Manohara-07,Kageshwori Manohara,1048.140625,24000000,6,3,South West,13,https://epropertynepal.com/properties/1840-house-for-sale-at-birendra-chowk-kadaghari
2.5,Kathmandu,Mulpani,Kageshwori Manahara,1026.75,15000000,6,3,North,10,https://epropertynepal.com/properties/1222-house-for-sale-at-mulpani-kathmandu
3,Kathmandu,Kageshwari-Manohara-07,Kadaghari,1283.4375,21500000,6,3,East,13,https://epropertynepal.com/properties/1645-house-for-sale-at-har-har-mahadev-kathmandu
2.5,Kathmandu,Kathmandu,Kadaghari,941.1875,17500000,4,3,South,10,https://epropertynepal.com/properties/2932-2-5-storey-house-for-sale-at-pepsicola-kadaghari
2.5,Kathmandu,Kageshwori Manohara -7,Kadaghari,1369,23500000,6,4,South East,20,https://epropertynepal.com/properties/1685-house-for-sale-at-bistagaun-kadaghari-kathmandu
3.5,Kathmandu,Gokarneshwor,Jorpati,1369,37000000,6,6,North East,25,https://epropertynepal.com/properties/1009-3-5-storey-house-for-sale-at-attarkhel-jorpati
3,Kathmandu,Kathmandu,Jorpati,1411.78125,27900000,6,3,North,13,https://epropertynepal.com/properties/2155-house-for-sale-at-jorpati-kathmandu
2.5,Kathmandu,Gokarneshwor,Jorpati,855.625,15200000,4,3,East,10,https://epropertynepal.com/properties/1011-2-5-storey-house-for-sale-at-jorpati-kathmandu
2,Kathmandu,Kathmandu,Jorpati,1197.875,20000000,5,2,East,13,https://epropertynepal.com/properties/1039-2-storey-house-for-sale-at-makalbari-jorpati
2.5,Lalitpur,Kusunti,Kusunti,1882.375,26000000,6,3,North East,13,https://epropertynepal.com/properties/1279-house-for-sale-at-kusunti-lalitpur
3.5,Lalitpur,Mahalaxmi-4,Imadol,1197.875,28500000,7,5,East,13,https://epropertynepal.com/properties/2494-3-5-storey-house-for-sale-at-imadol-lalitpur
3.5,Lalitpur,Mahalaxmi,Imadol,1411.78125,20000000,7,3,West,13,https://epropertynepal.com/properties/1254-house-for-sale-at-imadol-lalitpur
3,Lalitpur,Mahalaxmi,Imadol,941.1875,23000000,5,5,West,13,https://epropertynepal.com/properties/2448-3-storey-house-for-sale-at-imadol-lalitpur
3,Lalitpur,Mahalaxmi,Imadol,1026.75,26500000,5,3,West,13,https://epropertynepal.com/properties/2667-3-storey-house-for-sale-at-cozy-home-imadol-lalitpur
3,Lalitpur,Mahalaxmi-4,Imadol,1026.75,26000000,6,3,East,13,https://epropertynepal.com/properties/2824-3-storey-house-for-sale-at-imadol-lalitpur
3,Lalitpur,Mahalaxmi-4,Imadol,1155.09375,26500000,6,4,North West,13,https://epropertynepal.com/properties/2856-3-storey-house-for-sale-at-boje-pokhari-lalitpur
2.5,Lalitpur,Lalitpur,Imadol,855.625,20600000,6,3,West,13,https://epropertynepal.com/properties/2786-2-5-storey-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi,Imadol,941.1875,25000000,5,4,East,12,https://epropertynepal.com/properties/1595-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi-03,Imadol,1005.359375,22000000,5,3,South East,25,https://epropertynepal.com/properties/1920-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi-4,Imadol,1026.75,24200000,5,3,East,16,https://epropertynepal.com/properties/2523-2-5-storey-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi 4,Imadol,1026.75,26100000,5,3,East,20,https://epropertynepal.com/properties/2481-3-storey-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi-4,Imadol,1026.75,21000000,6,3,South East,13,https://epropertynepal.com/properties/2544-2-5-storey-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi,Imadol,1026.75,28500000,6,3,East,20,https://epropertynepal.com/properties/2686-2-5-storey-2-houses-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi,Imadol,1026.75,22500000,4,4,West,13,https://epropertynepal.com/properties/2586-2-5-storey-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi-4,Imadol,1026.75,25000000,4,4,North,16,https://epropertynepal.com/properties/2511-2-5-storey-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi-4,Imadol,1026.75,24000000,5,4,North,16,https://epropertynepal.com/properties/2476-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Lalitpur,Imadol,1026.75,21500000,7,4,South,10,https://epropertynepal.com/properties/2644-2-5-storey-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi-4,Imadol,1047.285,24000000,4,4,West,16,https://epropertynepal.com/properties/2698-2-5-storey-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Lalitpur,Imadol,1048.140625,27500000,4,4,South,20,https://epropertynepal.com/properties/2735-2-5-storey-house-for-sale-at-raj-kulo-shital-height-lalitpur
2.5,Lalitpur,Mahalaxmi,Imadol,1069.53125,17200000,6,3,East,13,https://epropertynepal.com/properties/1208-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi,Imadol,1099.9915,26000000,4,4,North,13,https://epropertynepal.com/properties/2551-2-5-storey-house-for-sale-at-namuna-tole-imadol
2.5,Lalitpur,Mahalaxmi,Imadol,1112.3125,22000000,4,3,South,13,https://epropertynepal.com/properties/1905-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi-4,Imadol,1112.3125,26000000,5,5,West,13,https://epropertynepal.com/properties/2560-2-5-storey-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi,Imadol,1147.0851,27500000,7,4,West,20,https://epropertynepal.com/properties/2437-2-5-storey-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi- 02,Imadol,1197.875,22500000,6,3,West,16,https://epropertynepal.com/properties/1626-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi,Imadol,1197.875,24500000,6,3,East,13,https://epropertynepal.com/properties/1944-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi-04,Imadol,1197.875,23500000,6,4,South,13,https://epropertynepal.com/properties/1916-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi,Imadol,1197.875,25000000,7,5,North East,16,https://epropertynepal.com/properties/2142-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Lalitpur,Imadol,1283.4375,28000000,7,3,East,13,https://epropertynepal.com/properties/2738-2-5-storey-house-for-sale-at-boje-pokhari-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi,Imadol,1369,25000000,4,4,North East,13,https://epropertynepal.com/properties/1328-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi-3,Imadol,1454.5625,25000000,6,2,South,20,https://epropertynepal.com/properties/2404-2-5-storey-house-for-sale-at-boje-pokhari-lalitpur
2.5,Lalitpur,Lalitpur,Imadol,1625.6875,41500000,4,4,East,20,https://epropertynepal.com/properties/2943-2-5-storey-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi-6,Imadol,1882.375,45000000,4,4,South West,20,https://epropertynepal.com/properties/2498-2-5-storey-house-for-sale-at-imadol-lalitpur
1,Lalitpur,Lalitpur,Imadol,855.625,15500000,2,1,South West,13,https://epropertynepal.com/properties/2709-1-storey-house-for-sale-at-imadol-lalitpur
