price,Location,Living Room,Used For,Floor,Bathroom,Bedroom,Land Mark,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url
39900000,"Baluwakhani, Kapan, Budhanilkantha, Nepal",1,,,3,5,,5,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-baluwakhani-kapan-in-nepal/1920bd836d424f86ad12a3a91f83d2fd
44000000,Thulo Bharyang,1,recidencial,3,5,4,swoyambhu - Thulobhareng - rumbachok - The comfort housing sano bharyang. Nagarjun - 2,5,1182,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/new-and-beautiful-house-for-sellfree-9842218111-in-nepal/41dd5e1ab8564b75aa8da326992c31aa
75000000,"भीमसेन गोला, सिनामंगल",1,,2,4,7,,8,3500,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-sinamangal-in-nepal/1a9711ef5eac44a9a4a4c3970d9e99ec
29900000,"Tokha Chandeswori Lower Secondary School, जाल्पा चोक, टोखा चण्डेश्वरि, टोखा नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,,3,2,5,,5,350,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-in-sale-at-grande-hospital-in-nepal/476515f89c564d0eb87e1a9452797a86
17000000,"कनिबाहलदेखि सिन्चाहिटी रोडसम्म, Hakha Tol, मङ्गल बजार",,,,,,,,,,https://hamrobazaar.com/for-sale-house/house-for-sale-at-sundharapatan-in-nepal/e6c3f9cc3f814482a41cdaecfce6acc6
23500000,"Shree Binayak Tole, Tokha, काठमाडौं, Bagmati Pradesh, नेपाल",2,,3,4,5,,3,1500,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-greenland-tokha-in-nepal/6f2dbcc7ed0a4eb5b98d990f3faeadcd
26500000,Imadol,2,,3,4,5,,0,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-rajkulo-chowk-shital-height-in-nepal/b0eeecefdee94d66bdee379beb17c58a
35000000,Kathmandu > Thulo Bharyang,2,,2.5,6,14,,,1600,,https://hamrobazaar.com/for-sale-house/big-offer-in-kathmandu/c9f9d84511e441199555ad7daff23230
35900000,Kathmandu > Balaju,,,,,,"Kathmandu nepaltar , futug gayan bhumi school agadi.",,,,https://hamrobazaar.com/for-sale-house/house-sales-exchange-kathmandu-nepaltar-in-kathmandu/f776d96d1ca948e38ee584d4fe4e89dd
29500000,"Imadol (Mahalaxmi), Lalitpur",2,,3,3,4,,3 aana 2 paisa,2000,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/modern-house-on-sale-at-imadol-lalitpur-in-lalitpur/4e8dfe0443e34db79d8d178c6725ac96
147000000,"jawlakhel, Jawalakhel, Lalitpur",,,,,,,,,,https://hamrobazaar.com/for-sale-house/furnished-bungalow-house-in-sale-at-jawalakhel-in-lalitpur/d2eccee45fc5408d91b1579a61215b98
27500000,Imadol,2,,3,4,4,,3,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-ochu-height-highway-najeek-in-nepal/60021a48b930433d966fd485fb02976e
120000000,"Maharajgunj, Kathmandu",3,,3.5,5,8,,0-11-1-0,3798.97,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-ganeshbasti-gjbhos-gjbhos-3093-in-kathmandu/ca25b5b8208b4f42b86796a2cf59a714
25500000,"Sitapakha, Imadol, Khadkatol, Khadkagau, Mahalaxmi Municipality, Lalitpur, Bagmati Pradesh, 44795, Nepal",3,,2.5,4,5,,4 aana,4 aana,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/urgent-house-on-sale-at-imadol-sheetal-height-in-lalitpur/80851bc526fc4207a2f5d1c87eece285
40500000,"Unnamed Road, Budhanilkantha 44600, Nepal",,,,,,,,,,https://hamrobazaar.com/for-sale-house/house-for-sale-kapan-in-nepal/671105038a8f4a4e92fb6d1f4a2d0edc
