price,Location,Floor,Bathroom,Bedroom,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url,Land Mark
"रू. 5,80,00,000",Kathmandu > Golfutar (Budhanilkantha),3,4,5,5,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/flat-system-house-on-sale-at-golfutar-5-ana-in-kathmandu/8a83091125214baba1087fb15057a2f2,Golfutar planning
"रू. 2,40,00,000","Imadol Tikathali Siddhipur Sanagau Mahalaxmisthan Lubhu Lamatar Changathali, Mahalaxmi Area, Lalitpur",2.5,4,4,3 Aana,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-imadol-in-lalitpur/20eca691573d44a39f9dfbf426b31e9e,imadol
"रू. 95,00,000","Mahadevsthan, Mahamanjushree Nagarkot, Changunarayan, Bhaktapur",2,2,3,4,849,5 - 8 Ft.,https://hamrobazaar.com/for-sale-house/bhaktapur-ma-ati-sasto-ma-ghar-bikrima-in-bhaktapur/ab0d5885032a49b2a6e5af68b1945651,
"रू. 3,80,00,000","Aakashedhara, Mandikhatar",2,2,4,7,25,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-kapan-in-nepal/8c2db528127947a7b500256603bebc4b,
"रू. 3,00,00,000","bhaisipati, Bhaisepati / Sainbu, Lalitpur",2.5,3,1,0-5-2-2,1000,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-bhaisepati-in-lalitpur/d92caa34389f4d06b6b34f36be8a8691,
"रू. 2,25,00,000","Tokha Chandeshwari (Tokha), Kathmandu",2.5,3,7,3.5 anna,..,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/attractive-house-at-sale-at-bhatkeko-pul-tokha-in-kathmandu/9d848ab0a54d4ca7acc8dbaa3e56e65c,
"रू. 3,30,00,000","Birendra Aishwarya Marg, Gongabu",5,18,18,3,4852,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-gangabu-in-nepal/486a602bd5ec49b3bcca7472e63d1c8f,
"रू. 3,35,00,000","All Core Kathmandu, Kathmandu",2.5,4,5,5 aana 1 paisa,"2051 sqr, ft",ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/5bhk-bungalow-for-sale-saibudole-bhaisepati-in-kathmandu/f57838a9745c4bbca459b067f5e0a035,Bhaisepati police station
"रू. 1,10,00,000","Kathmandu City, Kathmandu",1 and 1\2,2,3,3 ana 1 paisa,899,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-in-kathmandu/2b5276e281f442259ead28019d54ceb2,
"रू. 3,25,00,000","सीतापाखा, Imadol",3,4,5,330,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-ochu-height-shital-height-in-nepal/4d657868fd6643f696101f906c95a5e6,
