price,Location,Floor,Bathroom,Bedroom,Land Mark,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url
15000000,"Imadol (Mahalaxmi), Lalitpur",2.5,3,7,,2.3 paisha,800,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-imadol-in-lalitpur/a94ea026e75f47f3b19aa4f57771d3c0
16500000,"Bhangal (Budhanilkantha) , bangal",1,1,2,parking avaiable,4,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/4-aana-house-for-sale-at-budhanilkantha-bangal-in-nepal/acd13f8ee172490f8a75347f1799dbdd
75000000,"Telecom, Chauni, Bhinsen Thapa Marg, Kalimati, Kalanki, Maitri Nagar, Kathmandu",,,,,0-7–0-0,,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/tahachal-ma-7-aana-ma-baneko-ghar-bikrima-in-kathmandu/aeaad372c6074095a00c4e51716b0e19
22500000,"Belbari, Morang",2,3,4,Belabari Nagarpalika Office and DSP Office,22 dhur,1200,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/brand-new-house-in-belbari-for-sale-in-morang/9f023898e107452c9b534040b469bce8
35000000,"Baniyatar (Tokha), Kathmandu",3,3,6,,0-4-1-0,2345,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-tokha-in-kathmandu/140380b72163467d88992ccb5e9d0238
57000000,"Baluwatar, Kathmandu",3,4,4,,5 AANA,5 AANA,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/baluwatar-ma-5-aana-jagga-bikrima-for-sale-in-kathmandu/742105bcb7a54ca38d25c76ed3f8e5a9
60000000,"Khadkagaon, Budhanilkantha, Budhanilkantha Municipality, Kathmandu",3,6,5,Rudreswor,6,2800,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/neoclassic-of-6-ana-land-in-kathmandu/7a4017483080440fbeb232f6a656417b
185000000,"Anand Chok, Tinthana, Chandragiri, Kathmandu",3,3,3,Good,17,5,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/kalanki-ma-17-aana-ma-baneko-ghar-bikri-ma-in-kathmandu/f1607927bd414d74933e9e9f77319ce4
27500000,"kritipur, Tyangala Phant (Kirtipur), Kathmandu",,,,,,,,https://hamrobazaar.com/for-sale-house/building-for-sale-in-kathmandu/5495fa48f5bb4946b354e41c33aef1f8
70000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,4,Khumaltar Lalitpur,10 Aana,1,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-lalitpur/7f2d67e3934b45219669d3c5d67a3937
23800000,"Budhanilkantha, Kathmandu",,,,,,,,https://hamrobazaar.com/for-sale-house/3-aana-house-for-sale-budhanilkantha-hattigauda-in-kathmandu/c46f5ee1c45b433895491ca007d39694
