price,Location,Floor,Land Mark,Land Size (Aana/Dhur),Road Size,Bathroom,Bedroom,url
50000000,"New Baneshwor, Kathmandu",.,,2053.5,12.00,4,6.00,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-sital-height-in-lalitpur/fa6e257bf8354bb98831180aaab72514
55000000,"Dhapakhel, Lalitpur",3,,2224.625,13.00,2,5.00,https://hamrobazaar.com/for-sale-house/cheap-house-on-sale-at-bhaktpur-in-nepal/ee7842d655d84b15b8d738cce00c0e6d
55000000,"Ranibari (Samakhusi), Kathmandu",3,All Nepal hospital,2224.625,13.00,6,3.00,https://hamrobazaar.com/for-sale-house/for-haus-sales-in-nepal/4e0b7365dff74237b968c748bc8912dc
52500000,"Old Baneshwor, Kathmandu",4,00m from Shanti Nagar gate,2224.625,13.00,3,3.00,https://hamrobazaar.com/for-sale-house/house-for-sale-dhapakhel-arawat-tolelalitpur-in-lalitpur/49ae18fa90cd4e24a218c5eb4e69ac75
42000000,"Gamcha (Ananta), Bhaktapur",2.5,,2395.75,20.00,5,5.00,https://hamrobazaar.com/for-sale-house/house-on-sale-in-lalitpur/87fd60367fb540c6b91e44e42bb67a75
56500000,"Budhanilkantha, Kathmandu",4,Park Village next stop,2395.75,13.00,7,7.00,https://hamrobazaar.com/for-sale-house/budanilkantha-sudodhan-gram-siddhartha-colony-in-kathmandu/34bde44737ac4450a8e6e222c74260f9
65000000,Kathmandu > Baluwatar,3,350 mtr frm baluwatar chowk Cksmohancks,2806.45,13.00,3,6.00,https://hamrobazaar.com/for-sale-house/house-on-sale-at-batkekopul-tokha-in-kathmandu/a2b9e0c66e5f4f43a3583d331f10e96a
26500000,Imadol,0,,0-2-3-0,13.00,5,8.00,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-dhapasi-in-kathmandu/7aa1ac5f4ccd4313bf216afd4d1d4a1c
21500000,"Imadol (Mahalaxmi), Lalitpur",2.5,,0-2-3-0,13.00,4,6.00,https://hamrobazaar.com/for-sale-house/house-in-lalitpur/212588794754460ab0946155ac20b5b7
120000000,"Baluwatar, Kathmandu",2.5,Baluwatar Near by nepal rastra bank,0-3-0-1,13.00,17,26.00,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-shantinagarkathmandu-in-kathmandu/cd7bf19fd9544df18d02afaeb4c4dc02
29500000,"Imadol, Lalitpur",3,,0-3-2-2,13.00,4,4.00,https://hamrobazaar.com/for-sale-house/house-for-sale-at-near-gwarko-in-lalitpur/773f3d8e72c9440ea00757cf87d777ee
29500000,"Imadol (Mahalaxmi), Lalitpur",2.5,sitalheight,0-3-2-2,13.00,3,5.00,https://hamrobazaar.com/for-sale-house/imadol-sanagau-house-on-sale-in-nepal/be88c261ba9847d1980612f6bb53f245
75000000,"Balaju, Kathmandu",,,0-4-1-0,20.00,3,4.00,https://hamrobazaar.com/for-sale-house/new-fully-furnished-bunglow-style-house-in-bhaktapur/d8d21115619a414e9d3e296127228968
38000000,"vasundhara, Basundhara, Kathmandu",.,,0-4-2-0,12.00,3,5.00,https://hamrobazaar.com/for-sale-house/house-for-sale-behind-grandi-tower-in-kathmandu/01410aa22dd2455393114352d879676b
24000000,"Thali, Kageshwori Manohara, Kageshwori Manohara Municipality, Kathmandu, Bagmati Pradesh, 46603, Nepal",1 and half,milanchowk,0-5-1-1,12.00,3,6.00,https://hamrobazaar.com/for-sale-house/house-sale-at-tallo-baluwatar-in-nepal/d9d2784f0c394cdea602318a66335d0c
62500000,"Gyaneswor, Gyaneshwar, Kathmandu",3,Gyaneshwor,0-6-2-0,20.00,7,6.00,https://hamrobazaar.com/for-sale-house/brand-new-modern-bungalow-on-sale-in-kathmandu/777a9fe72a0943f08740cb960c6c0994
45000000,Kathmandu > Mandikatar (Dhumbarahi),,Mandikhatar heights,,,,,https://hamrobazaar.com/for-sale-house/residential-bhangal-sunder-basti-4-aana-house-on-s-in-kathmandu/5c1d8dd4c8db49a394637d2a49bff041
