title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
"Residential House On Sale at Kadaghari, Hanuman Mandir, Kathmandu | 9745300858",Kathmandu,Kathmandu,"Kadaghari, Hanuman Mandir",3.5 Aana,13 Ft,"3,25,00,000",6,1,2076,Car 5-10,East,https://www.gharghaderi.com/house/2767-Residential-House-On-Sale-at-Kadaghari-Hanuman-Mandir-Kathmandu/
"Residential House On Sale at Narephat, Jadibuti, Kathmandu | 9745300858",Kathmandu,Kathmandu,"Narephat, Jadibuti",2.5 Aana,28 Feet,"2,70,00,000",1,1,2076,Motorbike,East,https://www.gharghaderi.com/house/2766-Residential-House-On-Sale-at-Narephat-Jadibuti-Kathmandu/
"Residential House On Sale at BUDHANILKANTHA, Dulal Tole, Just 1 Km away from Budhanilkantha temple | 9745300858",Kathmandu,Kathmandu,"BUDHANILKANTHA, Dulal Tole",5.1 Aana,14 Ft,"2,55,00,000",5,3,2076,Car 3-5,East,https://www.gharghaderi.com/house/2765-Residential-House-On-Sale-at-BUDHANILKANTHA-Dulal-Tole-Just-1-Km-away-from-Budhanilkantha-temple/
"Commercial Building Available For Rent at Kalanki Chowk, Kathmandu | 9745300858",Kathmandu,Kathmandu,kalanki,1500 Sqft,13 Ft,0,1,1,2076,Car 5-10,East,https://www.gharghaderi.com/house/2764-Commercial-Building-Available-For-Rent-at-Kalanki-Chowk-Kathmandu/
"Modern House on Sale, Paiyutar, Kapan | 9745300858",Kathmandu,Budhanilkantha,Kapan,4 Aana,10 Ft,"2,90,00,000",1,1,2076,Car 1,South east,https://www.gharghaderi.com/house/2762-Modern-House-on-Sale-Paiyutar-Kapan/
"Residential Building On Sale at Paradise Colony, Bhangal | 9745300858",Kathmandu,Budhanilkantha,"Paradise Colony, Bhangal",3 Aana 2 Paisa,13 Ft,"2,75,00,000",3,3,2076,Car 2,South east,https://www.gharghaderi.com/house/2761-Residential-Building-On-Sale-at-Paradise-Colony-Bhangal/
New House on Sale in Imadol | 9864260884 sold,Lalitpur,Mahalaxmi,"Near Golbhatta, Imadol",3 Ana,13 Ft,"2,35,00,000",4,4,2076,Motorbike,South,https://www.gharghaderi.com/house/2758-New-House-on-Sale-in-Imadol/
New House on Sale in Nayabasti Imadol | 9864260884 sold,Lalitpur,Mahalaxmi,Nayabasti,3 Ana 2 Paisa,13 Ft,"2,75,00,000",5,4,2076,Car 1,East,https://www.gharghaderi.com/house/2757-New-House-on-Sale-in-Nayabasti-Imadol/
"Fully Furnished House for sale in Jhamsikhel, Sanepa | 9849204406",Lalitpur,Lalitpur,"Sanep, Jhamsikhel",3 Aana,10 Ft,"4,10,00,000",6,5,2069,Car 2,South east,https://www.gharghaderi.com/house/2751-Fully-Furnished-House-for-sale-in-Jhamsikhel-Sanepa/
house for sale in Budhanilkantha Nayabasti | 9841904701,Kathmandu,Budhanilkantha,Nayabasti,0-4-3 -0,20 Ft,"3,85,00,000",6,5,2068,Car 2,East,https://www.gharghaderi.com/house/2750-house-for-sale-in-Budhanilkantha-Nayabasti/
"House for Sale, Near Nepal Korea Friendship Hospital | 9813951328",Bhaktapur,Madhyapur Thimi,"Siddhikali Tole, Thimi",4 Aana,20 Ft,"2,30,00,000",5,3,2075,Car 1,North east,https://www.gharghaderi.com/house/2747-House-for-Sale-Near-Nepal-Korea-Friendship-Hospital/
Well built house on sale | 9863697942,Bhaktapur,Suryabinayak,Ganesh mandir,4.2,8 Ft,"1,85,00,000",1,1,2066,Car 1,East,https://www.gharghaderi.com/house/2746-Well-built-house-on-sale/
"HOUSE (RECENTLY COMPLETED SEISMIC RESISTANT) ON SALE AT SURYABINAYAK - KATUNJE, BHAKTAPUR | 9841257156",Bhaktapur,Bhaktapur,"Suryabinayak-Katunje, Bhaktapur",3 Anna,,"2,05,00,000",4,3,2076,Car 2,South,https://www.gharghaderi.com/house/2744-HOUSE-(RECENTLY-COMPLETED-SEISMIC-RESISTANT)-ON-SALE-AT-SURYABINAYAK---KATUNJE-BHAKTAPUR/
"Flat system 2.5 storey house, Besigaun Jorpati | 9849588555",Kathmandu,Kathmandu,"Besigaun, Jorpati",4.5 Aana,12 Ft,"2,85,00,000",5,2,2068,Car 1,South,https://www.gharghaderi.com/house/2741-Flat-system-2.5-storey-house-Besigaun-Jorpati/
"New House for sale in Hattiban Housing complex, constructed by CE construction | 9851064259",Lalitpur,Lalitpur,Hattiban,1200 Sqft,20 Ft,"5,00,00,000",4,3,2076,Car 1,North,https://www.gharghaderi.com/house/2738-New-House-for-sale-in-Hattiban-Housing-complex-constructed-by-CE-construction/
"House for sale in Bhojad, Bharatpur City | 9845390196",Chitwan,Bharatpur,Bhojad,26 Dhur (13.8 Aana),20 Ft,"2,60,00,000",4,4,2070,Car 3-5,South,https://www.gharghaderi.com/house/2729-House-for-sale-in-Bhojad-Bharatpur-City/
"6BHK Bunglow For SALE At Bafal, Kathmandu | 9802601313",Kathmandu,Kathmandu,Bafal,0-8-3-1,12 Ft,"5,80,00,000",6,5,2076,Car 3-5,East,https://www.gharghaderi.com/house/2719-6BHK-Bunglow-For-SALE-At-Bafal-Kathmandu/
"5 Storey Bungalow For RENT At Naxal, Ward No 1, Kathmandu | 9802601313",Kathmandu,Kathmandu,Naxal,1-0-0-0,20 Ft,"3,00,000",12,7,2076,Car 5-10,North,https://www.gharghaderi.com/house/2718-5-Storey-Bungalow-For-RENT-At-Naxal-Ward-No-1-Kathmandu/
"1 Ropani Commercial Property For SALE At Samakhusi, Kathmandu | 9802601313",Kathmandu,Kathmandu,Samakhusi,1 Ropani,20 Ft,"16,00,00,000",5,3,2076,Motorbike,West,https://www.gharghaderi.com/house/2717-1-Ropani-Commercial-Property-For-SALE-At-Samakhusi-Kathmandu/
1000sq.ft Tahara on rent at sitapaila chowk opposite to kantipur college of medical science | 9813239577,Kathmandu,Kathmandu,Sitapaila chowk,1000 Sqft,20 Ft,70,1,1,2070,Car 3-5,East,https://www.gharghaderi.com/house/2715-1000sq.ft-Tahara-on-rent-at-sitapaila-chowk-opposite-to-kantipur-college-of-medical-science/
House For Sale In Thankot | 9849560815,Kathmandu,Chandragiri,"Tribhuwan Park , Thankot",4 Aana,13 Ft,"2,60,00,000",5,4,2076,Motorbike,North east,https://www.gharghaderi.com/house/2708-House-For-Sale-In-Thankot/
House on Sale | 9861049560,Lalitpur,Mahalaxmi,Gwarko,8 And Half Aana,10 Ft,"6,00,00,000",12,6,2071,Car 2,East,https://www.gharghaderi.com/house/2699-House-on-Sale/
Bharatpur Chitwan 11 | 9803674311,Chitwan,Bharatpur,Jhakhadi Mai 11,9.5 Dhur,13 Ft,"1,75,00,000",1,1,2076,Car 1,East,https://www.gharghaderi.com/house/2697-Bharatpur-Chitwan-11/
Newly Constructed RoofTop Restaurant Space Available Pulchowk | 9841317135,Lalitpur,Lalitpur,Pulchowk,3900 Sqft,,85,1,1,2076,Motorbike,East,https://www.gharghaderi.com/house/2696-Newly-Constructed-RoofTop-Restaurant-Space-Available-Pulchowk/
Commercial House for sale in Narayanghat | 9815258281,Chitwan,BMC,Narayanghat,1000 Sqft,6 Ft,"5,60,00,000",1,1,2076,Motorbike,East,https://www.gharghaderi.com/house/2695-Commercial-House-for-sale-in-Narayanghat/
Guthi House on salw | 9843236785,Kathmandu,Gokarneshwor,nayabasti,5,10 Ft,"2,35,00,000",1,1,2076,Motorbike,South,https://www.gharghaderi.com/house/2685-Guthi-House-on-salw/
"New house for sale*emergency sale *,pokhara | 9824117033",Kaski,Pokhara,Chauthe,5.45 Anna,,"2,85,00,000",7,3,2076,Car 1,South west,https://www.gharghaderi.com/house/2682-New-house-for-sale*emergency-sale-*-pokhara/
Commercial Building Sale at Kupondol near hanumathan mandir | 9851039363,Lalitpur,Lalitpur,Kupondol near Hanumanthan mandir,5 Aana,20 Ft,"14,00,00,000",5,10-Aug,2070,Car 3-5,East,https://www.gharghaderi.com/house/2681-Commercial-Building-Sale-at-Kupondol-near-hanumathan-mandir/
new house on sale at naikap near bidhya mandir school near nic asia bank | 9841763341,Kathmandu,Chandragiri,Naikap,4,13 Ft,"2,60,00,000",3,3,2075,Car 1,East,https://www.gharghaderi.com/house/2679-new-house-on-sale-at-naikap-near-bidhya-mandir-school-near-nic-asia-bank/
New House for Sale in Tikathali Lalitpur | 9864260884 sold,Lalitpur,Mahalaxmi,Tikathali,1200 Sqft,13 Ft,"1,55,00,000",2,1,2076,Car 1,South,https://www.gharghaderi.com/house/2674-New-House-for-Sale-in-Tikathali-Lalitpur/
House for rent | 9841281788,Kathmandu,Tokha,grande villa,1200 Sqft,12 Ft,"50,000",3,2,2076,Car 1,East,https://www.gharghaderi.com/house/2669-House-for-rent/
new house in gokarna | 9851003105,Kathmandu,Kathmandu,gokarna,3 Aana,13 Ft,"1,30,00,000",2,1,2076,Car 1,East,https://www.gharghaderi.com/house/2668-new-house-in-gokarna/
new house for sale in jorpati | 9851003105,Kathmandu,Kathmandu,jorpati,3/1/2002,13 Ft,"2,70,00,000",6,3,2076,Car 1,South east,https://www.gharghaderi.com/house/2667-new-house-for-sale-in-jorpati/
semi commercial semiresidential whole house for RENT. | 9863026651,Kathmandu,Kathmandu,Tripureswar near WORLD TRADE CENTER,5 Annas,,"1,00,000",3,3,2066,Car 1,South,https://www.gharghaderi.com/house/2665-semi-commercial-semiresidential-whole-house-for-RENT./
House for sale at balkot | 9851178232,Bhaktapur,Suryabinayak,Balkot 2,10 Anna,13 Ft,"7,50,00,000",6,5,2076,Car 2,East,https://www.gharghaderi.com/house/2655-House-for-sale-at-balkot/
House on renr in ravibhawan | 9840123586,Kathmandu,Kirtipur,Ravibhawan,900 Sqft,8 Ft,"30,000",1,1,2074,Motorbike,East,https://www.gharghaderi.com/house/2650-House-on-renr-in-ravibhawan/
Urgent sale bank ko loan ko problem le garera | 9844557477,Kathmandu,Budhanilkantha,Ganesh chowk,4ana 2 Paisa,6 Ft,"1,50,00,000",4,2,2070,Motorbike,East,https://www.gharghaderi.com/house/2644-Urgent-sale-bank-ko-loan-ko-problem-le-garera/
House for sale | 9849935335,Kathmandu,Kathmandu,Kalikasthan,1 Anna 2 Paisa,,"2,50,00,000",3,2,2066,Motorbike,East,https://www.gharghaderi.com/house/2640-House-for-sale/
House for sale in Sanothimi | 9843583481,Bhaktapur,Madhyapur Thimi,Sanothimi,4 Anna 3 Paisa,13 Ft,"3,80,00,000",6,4,2076,Car 1,West,https://www.gharghaderi.com/house/2636-House-for-sale-in-Sanothimi/
"12 ana ,pitched 20 ft road ,5 bed rooms for sell | 9887073813",Budhanilkantha,Budhanilkantha,From Hattigauda chock 0.3 miles,4107,,"19,479",5,3,2076,Motorbike,West,https://www.gharghaderi.com/house/2635-12-ana-pitched-20-ft-road-5-bed-rooms-for-sell/
"Old House rent in Makhan Tole, kathmandu | 9849133815",Kathmandu,Kathmandu,Makhan Tole,1200 Sqft,,"35,000",3,2,2076,Motorbike,West,https://www.gharghaderi.com/house/2634-Old-House-rent-in-Makhan-Tole-kathmandu/
new house on sale at Lalitpur | +977985114,Lalitpur,Mahalaxmi,Imadol,4 Aana,13 Ft,"3,25,00,000",5,4,2073,Car 2,North,https://www.gharghaderi.com/house/2631-new-house-on-sale-at-Lalitpur/
Dhapasi marga near mills berry International school | 985119505w,Kathmandu,Tokha,"bhetghat chowk bansbari , dhapasi marga",7 Anna,10 Ft,"5,00,00,000",4,4,2075,Car 2,South,https://www.gharghaderi.com/house/2630-Dhapasi-marga-near-mills-berry-International-school/
New House for Sale in Sanagaun | 9864260884 sold,Lalitpur,Mahalaxmi,Sanagaun,4 Ana,13 Ft,"3,25,00,000",5,4,2076,Car 1,East,https://www.gharghaderi.com/house/2624-New-House-for-Sale-in-Sanagaun/
DHARAN HOUSE AND LAND | 9810413365,Sunsari,Dharan,Beside easy riders hotel,25.2 Square Ft,18 Ft,"65,00,000",1,1,2066,Motorbike,North,https://www.gharghaderi.com/house/2620-DHARAN-HOUSE-AND-LAND/
New House for Sale in Imadol | 9864260884 sold,Lalitpur,Mahalaxmi,Imadol,3 Ana,13 Ft,"2,30,00,000",4,4,2076,Car 1,West,https://www.gharghaderi.com/house/2618-New-House-for-Sale-in-Imadol/
Residential Bungalow for sale in Imadol | 9851065283,Lalitpur,Mahalaxmi,Imadol,7 / 2395.75,20 Ft,"3,60,00,000",5,2,2066,Car 1,North east,https://www.gharghaderi.com/house/2617-Residential-Bungalow-for-sale-in-Imadol/
