title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
NEW HOUSE SELL IN NAYA NAIKAP | 9861437880,Kathmandu,Chandragiri,Naikap,1369,13,27500000,6,5,2076,3-,East,https://www.gharghaderi.com/house/1772-NEW-HOUSE-SELL-IN-NAYA-NAIKAP/
B AANAsthali Dhungedhara House on Sales 2.5 floor | 9823373737,Kathmandu,Nagarjun,B AANAsthali,1369,13,27500000,5,5,2076,3-,South,https://www.gharghaderi.com/house/1663-B AANAsthali-Dhungedhara-House-on-Sales-2.5-floor/
House for sale in Sadhbhavnagar Chandragiri | 9851167843,Kathmandu,Chandragiri,Naikap,1369,13,27500000,5,3,2076,3-,South east,https://www.gharghaderi.com/house/1366-House-for-sale-in-Sadhbhavnagar-Chandragiri/
3 storey house for sale in Aryal Gaun 7 Gokarneshwor | 9818467766,Kathmandu,Gokarneshwor,Aryal-Gaun,1369,13,27500000,3,5,2074,3-,South,https://www.gharghaderi.com/house/815-3-storey-house-for-sale-in-Aryal-Gaun-7-Gokarneshwor/
New house for sale in Tokha Grande Hospital | 9840872228,Kathmandu,Tokha,Greenland,1369,13,27500000,5,5,2075,3-,East,https://www.gharghaderi.com/house/716-New-house-for-sale-in-Tokha-Grande-Hospital/
House for sale in Tokha Gairigaun | Near Grande | 9818424657,Kathmandu,Tokha,Gairigaun,1711.25,13,27500000,7,4,2075,3-,East,https://www.gharghaderi.com/house/473-House-for-sale-in-Tokha-Gairigaun-%7C-Near-Grande/
4 Storeyed House On Sale At Sukedhara | 9849301553 sold,Kathmandu,Budhanilkantha,Near Rave Futsal Center,1112.31,25,28000000,8,3,2076,3-,South,https://www.gharghaderi.com/house/1675-4-Storeyed-House-On-Sale-At-Sukedhara/
Well furnished 2.5 storey house for sale at Makalbari near the serene Gokarna Protected Forest | 9851092763,Kathmandu,Gokarneshwor,Makalbari,1369,10,28000000,5,4,2073,3-,South,https://www.gharghaderi.com/house/1616-Well-furnished-2.5-storey-house-for-sale-at-Makalbari-near-the-serene-Gokarna-Protected-Forest/
House for sale at Baluwakhani Kapan | 9841904701,Kathmandu,Budhanilkantha,Kapan,1369,13,28000000,7,4,2076,3-,East,https://www.gharghaderi.com/house/1425-House-for-sale-at-Baluwakhani-Kapan/
New house for sale in Hattigauda | 9840872228,Kathmandu,Budhanilkantha,Hattigauda,1369,12,28000000,5,3,2075,3-,East,https://www.gharghaderi.com/house/800-New-house-for-sale-in-Hattigauda/
Brand New house for sale in Mandikatar Dhumbarahi | 9823013235 sold,Kathmandu,Kathmandu,Mandikataar,1711.25,13,28000000,6,4,2075,3-,East,https://www.gharghaderi.com/house/714-Brand-New-house-for-sale-in-Mandikatar-Dhumbarahi/
"Luxurious Building On Sale at Paiyatar, Kapan, Budhanilkantha, Kathmandu, Nepal | 9745300858",Kathmandu,Kathmandu,"Paiyatar, Kapan, Budhanilkantha",1368.99,,28500000,7,3,2076,3-,East,https://www.gharghaderi.com/house/2805-Luxurious-Building-On-Sale-at-Paiyatar-Kapan-Budhanilkantha-Kathmandu-Nepal/
House for sale at Golfutaar | 9818424657,Kathmandu,Budhanilkantha,Golfutar,1475.95,14,28500000,5,4,285,3-,City,https://www.gharghaderi.com/house/456-House-for-sale-at-Golfutaar/
"Flat system 2.5 storey house, Besigaun Jorpati | 9849588555",Kathmandu,Kathmandu,"Besigaun, Jorpati",1540.125,12,28500000,5,2,2068,3-,South,https://www.gharghaderi.com/house/2741-Flat-system-2.5-storey-house-Besigaun-Jorpati/
Kirtipur Ma Ghar  3  AANA Jaaga Bikima | 9841760604,Kathmandu,Kirtipur,7 aan,2395.75,20,28500000,1,3,2076,3-,East,https://www.gharghaderi.com/house/1617-Kirtipur-Ma-Ghar--3- AANA-Jaaga-Bikima/
